"Symbol";"Poziom";"Nazwa";
B2B\Kategorie;2;Kategorie;
B2B\Kategorie\Cukiernicze produkty;3;Cukiernicze produkty;
B2B\Kategorie\Cukiernicze produkty\Aromaty;4;Aromaty;
B2B\Kategorie\Cukiernicze produkty\Aromaty\Etanolowe;5;Etanolowe;
B2B\Kategorie\Cukiernicze produkty\Aromaty\Glikolowe;5;Glikolowe;
B2B\Kategorie\Cukiernicze produkty\Aromaty\Olejowe;5;Olejowe;
B2B\Kategorie\Cukiernicze produkty\Aromaty\Proszkowe;5;Proszkowe;
B2B\Kategorie\Cukiernicze produkty\Aromaty\Wodne;5;Wodne;
B2B\Kategorie\Cukiernicze produkty\Barwniki;4;Barwniki;
B2B\Kategorie\Cukiernicze produkty\Barwniki\do aerografu;5;do aerografu;
B2B\Kategorie\Cukiernicze produkty\Barwniki\do czekolady;5;do czekolady;
B2B\Kategorie\Cukiernicze produkty\Barwniki\naturalne;5;naturalne;
B2B\Kategorie\Cukiernicze produkty\Barwniki\olejowe;5;olejowe;
B2B\Kategorie\Cukiernicze produkty\Barwniki\w proszku;5;w proszku;
B2B\Kategorie\Cukiernicze produkty\Barwniki\w sprayu;5;w sprayu;
B2B\Kategorie\Cukiernicze produkty\Barwniki\w żelu;5;w żelu;
B2B\Kategorie\Cukiernicze produkty\Barwniki\wodne;5;wodne;
B2B\Kategorie\Cukiernicze produkty\Barwniki\zamsze;5;zamsze;
B2B\Kategorie\Cukiernicze produkty\Mieszanki;4;Mieszanki;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Babki;5;Babki;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Biszkopty i emulgatory;5;Biszkopty i emulgatory;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Budynie;5;Budynie;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Ciasta ciemne;5;Ciasta ciemne;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Ciasta drożdżowe;5;Ciasta drożdżowe;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Ciasta francuskie;5;Ciasta francuskie;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Ciasta jogurtowe;5;Ciasta jogurtowe;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Ciasta kruche;5;Ciasta kruche;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Ciasta piernikowe;5;Ciasta piernikowe;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Ciasta pozostałe;5;Ciasta pozostałe;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Galaretki;5;Galaretki;
B2B\Kategorie\Cukiernicze produkty\Mieszanki\Kremy budyniowe;5;Kremy budyniowe;
